Device Name,IP Address,Latency (ms),Packet Loss (%),Timestamp
Google DNS,8.8.8.8,45.3706,0.0,2026-05-02 13:23:30
Local Machine,127.0.0.1,0.656843,0.0,2026-05-02 13:23:30
Router1,8.8.8.8,107.068,0.0,2026-05-02 13:23:27
Localhost,127.0.0.1,0.540495,0.0,2026-05-02 13:23:27
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:23:24
Cloudflare DNS,1.1.1.1,71.9476,0.0,2026-05-02 13:23:07
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:23:03
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:22:56
Google DNS,8.8.8.8,31.0099,0.0,2026-05-02 13:22:49
Local Machine,127.0.0.1,0.390768,0.0,2026-05-02 13:22:49
Router1,8.8.8.8,53.8237,0.0,2026-05-02 13:22:46
Localhost,127.0.0.1,0.432968,0.0,2026-05-02 13:22:46
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:22:43
Cloudflare DNS,1.1.1.1,34.404,0.0,2026-05-02 13:22:26
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:22:22
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:22:15
Google DNS,8.8.8.8,74.7552,0.0,2026-05-02 13:22:08
Local Machine,127.0.0.1,0.458479,0.0,2026-05-02 13:22:08
Router1,8.8.8.8,33.803,0.0,2026-05-02 13:22:05
Localhost,127.0.0.1,0.629663,0.0,2026-05-02 13:22:05
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:22:02
Cloudflare DNS,1.1.1.1,37.2005,0.0,2026-05-02 13:21:45
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:21:42
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:21:34
Google DNS,8.8.8.8,29.851,0.0,2026-05-02 13:21:27
Local Machine,127.0.0.1,0.437975,0.0,2026-05-02 13:21:27
Router1,8.8.8.8,39.2239,0.0,2026-05-02 13:21:24
Localhost,127.0.0.1,0.452757,0.0,2026-05-02 13:21:24
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:21:21
Cloudflare DNS,1.1.1.1,34.8685,0.0,2026-05-02 13:21:04
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:21:01
